Student_ID,Name,Email,Course_Code,Midterm,Final,Attendance
S001,Michael Holmes,nicholasrodriguez@example.org,IQ101,82.5,76.1,81
S002,VANESSA VEGA,vvega697@university.edu,IQ101,84.7,99.3,87
S003,Jesus Salas,,IQ101,110,74.7,80
S004,Terri Olson,jenniferharrison@example.com,IQ101,98.7,88.7,85
S005,Kenneth Miller,kmiller826@university.edu,IQ101,68,85.6,69
S006,Cheryl Gray,afreeman,IQ101,68,71.5,90
S007,Darius Gonzalez,fburch@example.com,IQ102,78.6,51.2,88
S008,Matthew Faulkner,mfaulkner451@university.edu,IQ101,49.1,70.1,80
S009,MRS. CRYSTAL GONZALES,nicolecoleman@example.net,IQ101,59.8,82.4,95
S010,Richard Williams,jennifermayer@example.net,IQ101,61.4,58.2,97
S011,Jeffrey Saunders,jsaunders440@university.edu,IQ102,97,74.8,72
S012,Jack Dorsey,jdorsey567@university.edu,IQ101,76,58.1,80
S013,Kathryn Hall,jsaunders440@university.edu,IQ101,66.8,79.6,80
S014,Morgan Burke MD,mmd194@university.edu,IQ101,57.7,83.3,79
S015,Katrina Rodriguez,gregory32@example.org,IQ101,66,73.9,96
S016,Jennifer Edwards,jedwards609@university.edu,IQ101,66,103.9318946,86
S017,Christina Morales,cmorales325@university.edu,IQ,74.8,63.2,85
S018,Ryan Murphy,rmurphy700@university.edu,IQ101,87.3,60.9,68
S019,Vanessa Nelson,tandrade,IQ101,78.1,50.6,94
S020,Terri Price,,IQ101,55.1,80.8,76
S021,Robert Robinson,williamsoncindy@@good.com,IQ101,86.1,80.4,89
S022,Erin Munoz,sarah62@example.net,IQ201,,73.8,91
S023,Micheal Brown,mbrown157@university.edu,IQ201,52.8,67.9,100
S024,Christina Nguyen,cnguyen828@university.edu,IQ102,68.1,92.8,75
S025,Richard Jensen,pwright@example.net,IQ101,80.2,53.3,58
S760,David Holmes,dholmes977@university.edu,IQ101,79.9,72.6,90
S027,Dylan Hahn,dhahn465@university.edu,IQ101,64.8,86.6,100
S575,Javier Sharp,jsharp180@university.edu,IQ101,90.5,91,100
S029,Christian Williams,cwilliams976@university.edu,IQ101,62.4,73.7,90
